text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,followers,total_tweets,location,score
RT @yyynagoham: Idk why the student loan ppl emailed me today about my payments starting back up In January lol they better reach out to Jo…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",the_GoldenOreo,13,TRUE,FALSE,NA,NA,583,126645,"Angeles Los, Ca<U+2600><U+FE0F>",0
RT @bocxtop: what is joe biden’s plan to stop the sun from disappearing at 5pm,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",badwisglory,26215,TRUE,FALSE,NA,NA,120,12455,,3
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/ROq6Q6aw5r, see more https://t.co/JXkTW2SeqS",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",sds_labs,0,FALSE,FALSE,NA,NA,2642,71825,EU,7
RT @yashalevine: Our ruling elite can’t wait for senile Joe Biden to be finally chained to a radiator in the White House basement and be fe…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Bernd__Neuner,14,TRUE,FALSE,NA,NA,1568,56432,Spaceship Earth,1
RT @Sabrina_McDa: Trump unilaterally exited the open skies treaty &amp; now they are decommissioning &amp; destroying the only two observation plan…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",chiamaluca,1719,TRUE,FALSE,NA,NA,426,15968,Florence,2
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/Fcyh9yXvPt, see more https://t.co/rtejYAZpLs",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",bullslapper,0,FALSE,FALSE,NA,NA,4355,38422,Salibury   NC USA,7
"@roachhandler Agreed, he is making a giant mess for Biden not to be able to help the people instead clean all this crap up...",FALSE,0,roachhandler,2020-11-24 6:38,FALSE,1.33112E+18,1.33112E+18,516109860,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",designsbycary,0,FALSE,FALSE,NA,NA,14278,11395,"The Colony, TX",0
"RT @dancohen3000: Biden's top spy Avril Haines directly advised Obama on his CIA drone assassination kill list.

""Haines was sometimes summ…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChrisHelali,51,TRUE,FALSE,NA,NA,2135,2010,"Vershire, VT",1
RT @StevieVanZandt: Maddow is blowing my mind. Trump is not only leaving the Open Skies treaty he is trashing the planes! Making it impossi…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Butrphli,370,TRUE,FALSE,NA,NA,403,18552,Earth,1
"RT @TheDemCoalition: BOOM: Trump loses again!

Michigan’s statewide electoral board approved its presidential vote tally on Monday, resisti…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",moyzh76,130,TRUE,FALSE,NA,NA,26,18233,"California, Anaheim",1
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/R12RbelAVX, see more https://t.co/IwCFl0Sgid",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",FocusMobility,0,FALSE,FALSE,NA,NA,51,18593,,7
"RT @ShahidForChange: We voted for Obama in 2008 because, as an antiwar candidate, he promised to end Bush’s belligerent foreign policy &amp; re…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SillyPutty78,14,TRUE,FALSE,NA,NA,2863,69378,,0
RT @whaddupitssteve: what is joe biden’s plan for beef jerky prices,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AmandaMrozek2,1,TRUE,FALSE,NA,NA,597,4256,"Meerbusch, Germany",3
RT @7OSFREDDlE: what’s joe biden’s plan to bring back freddie mercury,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tomnever,90,TRUE,FALSE,NA,NA,7054,22822,Paris,3
"TECH NEWS PEOPLE Top story: President-Elect Joe Biden: Official Transition Website https://t.co/1VXngnstba, see more https://t.co/8uWZqGwvOd",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",paolettacapo,0,FALSE,FALSE,NA,NA,2937,215719,"Florence, Tuscany",7
@nothing4realk @JDO51405862 @ABC @jonkarl Court. You don't think Clearance Thomas isnt ready for Biden. He will get… https://t.co/VqY0KiNuna,FALSE,0,nothing4realk,2020-11-24 6:38,TRUE,1.32512E+18,1.33112E+18,305077147,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jeffj42,0,FALSE,FALSE,NA,NA,10,480,US,0
RT @ektaka: Is anyone else watching @maddow? WTF? Trump is pulling us out of the Open Skies treaty AND destroying the planes so Biden can't…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1VIKINGPATRIOT,3072,TRUE,FALSE,NA,NA,163,23479,,1
RT @irishrygirl: Joe Biden has a Coronavirus team. Donald Trump’s team has coronavirus. That’s the tweet,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MaingiKahiga,17144,TRUE,FALSE,NA,NA,619,20956,Kenya,1
RT @ResisterForever: President-elect Biden has done more work in 18 days than @realDonaldTrump has done in 4 years.,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KatanaKatt,3745,TRUE,FALSE,NA,NA,32,1769,United States,2
what is Joe Biden’s plan to get rid of men?,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RachDaBrat,0,FALSE,FALSE,NA,NA,2249,141677,Jamaica,3
"RT @TIME: The federal government recognized President-elect Joe Biden as the “apparent winner” of the U.S. election, formally starting the…",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sylvest41744891,108,TRUE,FALSE,NA,NA,181,3579,ibadan  Nigeria,3
"Top story: President-Elect Joe Biden: Official Transition Website https://t.co/nwnLgI5e9X, see more https://t.co/npyWnhLlO5",FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""https://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>",MrAlias1,0,FALSE,FALSE,NA,NA,2474,22909,USA,7
RT @marklevinshow: 3. Notice how they all covered up the mounds of evidence implicating the Biden family in corruption and dealings with fo…,FALSE,0,NA,2020-11-24 6:38,FALSE,NA,1.33112E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",graybeered42,3720,TRUE,FALSE,NA,NA,2233,84696,<U+2744><U+FE0F><U+2603><U+FE0F><U+0001F328><U+2614><U+FE0F><U+0001F326><U+0001F324><U+2600><U+FE0F><U+0001F308><U+0001F32A><U+0001F32C><U+0001F4A8><U+0001F328><U+26C4><U+FE0F><U+2744><U+FE0F>,0
